msr,id,tp,twsp,ws,wy,dt,wd,qm.cfs,qc.cfs,qmx.cfs,qmn.cfs,q.cv,uqm.cfsm,uqc.cfsm,ptm.mm,ptmx.mm,ptmn.mm,pt.cv,lbn.,uq.cm,ph.,cnd.us_s,alk.mg_l,sed.mg_l,slc.mg_l,utn.mg_l,tdn.mg_l,utkn.mg_l,tkn.mg_l,don.mg_l,ptn.mg_l,nhn.mg_l,non.mg_l,sod.mg_l,pot.mg_l,cal.mg_l,mag.mg_l,sul.mg_l,chl.mg_l,doc.mg_l,tn.s.mg_mg,tc.s.mg_mg,tcn.,tn.mg_mgsed,tc.mg_mgsed,tn.mg_100mgsed,tc.mg_100mgsed,d13c.permil,d15n.permil,fch,ssn,log.uq,log.qmx,log.ptm,log.ptmx,log.sed.mg_l,log.slc.mg_l,log.alk.mg_l,log.don.mg_l,log.ptn.mg_l,log.nhn.mg_l,log.utn.mg_l,log.tdn.mg_l,log.doc.mg_l,oc.mg_l,n.mg_l,ws.f,logt,cdt,sdt
ms,9_1969_ 14A,F,14,9,1969,25308,197,0.050142857,0.702,0.069,0.038,21.87247603,1.520071429,0.793,NA,NA,NA,NA, 14A,2.09,7.2,NA,20.29,1.03,NA,0.11,0.02,NA,0.02,0.01,NA,0.009,0.002,2.37,0.1,3.45,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/15/1969,Spring,0.737164066,-2.673648774,NA,NA,0.029558802,NA,3.010128154,-4.605170186,NA,-4.710530702,0.104360015,0.019802627,NA,NA,NA,Old-growth,pre-log,-0.969009826,-0.247022181
ms,9_1969_ 15A,F,15,9,1969,25329,218,0.04947619,1.039,0.159,0.024,42.96894219,1.502904762,1.171,NA,NA,NA,NA, 15A,2.98,7.5,NA,20.08,0.73,NA,0.11,0.04,NA,0.04,0.04,NA,0.005,0.002,2.21,0.02,3.45,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/6/1969,Spring,1.091923301,-1.838851077,NA,NA,-0.314710745,NA,2.999724295,-3.218875825,NA,-5.298317367,0.104360015,0.039220713,NA,NA,NA,Old-growth,pre-log,-0.819014887,-0.573772268
ms,9_1969_ 16A,F,16,9,1969,25357,246,0.018857143,0.528,0.075,0.01,36.47627989,0.57,0.591,NA,NA,NA,NA, 16A,1.53,7.7,NA,23.25,1.13,NA,0.11,0.05,NA,0.05,0.05,NA,0.003,0.002,2.51,0.04,3.6,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/3/1969,Spring,0.425267735,-2.590267165,NA,NA,0.122217633,NA,3.146305132,-2.995732274,NA,-5.80914299,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,-0.45973274,-0.888057323
ms,9_1969_ 17A,P,17,9,1969,25384,273,0.02537037,0.685,0.293,0.005,93.66633141,0.771333333,0.772,NA,NA,NA,NA, 17A,1.96,7.6,NA,24.96,5.82,NA,0.11,0.04,NA,0.04,0.02,NA,0.017,0.001,2.61,0.09,4.25,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/1969,Summer,0.672944473,-1.22758267,NA,NA,1.761300262,NA,3.217274544,-3.912023005,NA,-4.074541935,0.104360015,0.039220713,NA,NA,NA,Old-growth,pre-log,-0.012910296,-0.999916659
ms,9_1969_ 18A,F,18,9,1969,25398,287,0.008571429,0.12,0.017,0.005,37.65565984,0.258428571,0.135,NA,NA,NA,NA, 18A,0.37,NA,NA,26.87,1,NA,0.11,0.05,NA,0.05,0.05,NA,NA,NA,2.8,0.06,4.75,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/14/1969,Summer,-0.994252273,-4.074541935,NA,NA,0,NA,3.291010423,-2.995732274,NA,NA,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,0.226115686,-0.974100455
ms,9_1969_ 19A,F,19,9,1969,25413,302,0.004466667,0.067,0.007,0.004,16.6393288,0.132,0.07,NA,NA,NA,NA, 19A,0.19,7.8,NA,30,3.23,NA,0.11,0.05,NA,0.05,0.05,NA,NA,NA,3.25,0.05,5.05,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/29/1969,Summer,-1.660731207,-4.96184513,NA,NA,1.172482137,NA,3.401197382,-2.995732274,NA,NA,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,0.467359217,-0.88406751
ms,9_1969_ 20A,F,20,9,1969,25435,324,0.0025,0.055,0.004,0.002,23.90457219,0.077409091,0.063,NA,NA,NA,NA, 20A,0.16,NA,NA,29.25,1.14,NA,0.11,0.05,NA,0.05,0.05,NA,0.001,0.002,3.07,0.03,5.05,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/20/1969,Summer,-1.832581464,-5.521460918,NA,NA,0.131028262,NA,3.375879574,-2.995732274,NA,-6.907755279,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,0.761104259,-0.648629561
ms,9_1969_ 21A,F,21,9,1969,25454,343,0.001473684,0.028,0.002,0.001,34.8099798,0.047157895,0.037,NA,NA,NA,NA, 21A,0.09,7.8,NA,29.91,1.06,NA,0.11,0.08,NA,0.08,0.08,NA,0.003,NA,3.25,0.02,5.3,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/8/1969,Summer,-2.407945609,-6.214608098,NA,NA,0.058268908,NA,3.398192873,-2.525728644,NA,-5.80914299,0.104360015,0.076961041,NA,NA,NA,Old-growth,pre-log,0.929141411,-0.369724543
ms,9_1969_ 22A,F,22,9,1969,25469,358,0.005333333,0.08,0.042,0.001,96.82458366,0.163933333,0.088,NA,NA,NA,NA, 22A,0.22,NA,NA,29.25,2.27,NA,0.11,0.1,NA,0.1,0.1,NA,0.003,NA,3.18,0.03,4.72,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/23/1969,Fall,-1.514127733,-3.170085661,NA,NA,0.819779832,NA,3.375879574,-2.302585093,NA,-5.80914299,0.104360015,0.09531018,NA,NA,NA,Old-growth,pre-log,0.992748723,-0.120208045
ms,9_1970_ 24A,F,23,9,1970,25483,7,0.009642857,0.135,0.157,0.003,97.07900182,0.298642857,0.156,NA,NA,NA,NA, 24A,0.38,7.2,NA,24.96,1.14,NA,0.11,0.08,NA,0.08,0.08,NA,0.003,NA,2.93,0.02,4.8,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/7/1969,Fall,-0.967584026,-1.851509474,NA,NA,0.131028262,NA,3.217274544,-2.525728644,NA,-5.80914299,0.104360015,0.076961041,NA,NA,NA,Old-growth,pre-log,0.992748723,0.120208045
ms,9_1970_ 25A,F,24,9,1970,25498,22,0.019933333,0.299,0.227,0.003,172.1053002,0.605533333,0.338,NA,NA,NA,NA, 25A,0.88,7.2,NA,20.79,3.45,NA,0.11,0.09,NA,0.09,0.08,NA,0.01,NA,2.66,0.13,7.04,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/22/1969,Fall,-0.127833372,-1.482805262,NA,NA,1.238374231,NA,3.034472102,-2.525728644,NA,-4.605170186,0.104360015,0.086177696,NA,NA,NA,Old-growth,pre-log,0.929141411,0.369724543
ms,9_1970_ 26A,F,25,9,1970,25521,45,0.021130435,0.486,0.52,0.003,164.2882325,0.643043478,0.549,NA,NA,NA,NA, 26A,1.4,7.2,NA,21.54,1.47,NA,0.11,0.05,NA,0.05,0.05,NA,0.003,NA,2.56,0.2,5.1,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/14/1969,Fall,0.336472237,-0.653926467,NA,NA,0.385262401,NA,3.069911672,-2.995732274,NA,-5.80914299,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,0.714673386,0.699458327
ms,9_1970_ 27A,F,26,9,1970,25543,67,0.012772727,0.281,0.086,0.003,126.724803,0.387363636,0.314,NA,NA,NA,NA, 27A,0.8,7.3,NA,19.17,2.23,NA,0.11,0.06,NA,0.06,0.06,NA,0.002,NA,2.33,0.25,4.72,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/6/1969,Fall,-0.223143551,-2.453407983,NA,NA,0.802001586,NA,2.953346557,-2.813410717,NA,-6.214608098,0.104360015,0.058268908,NA,NA,NA,Old-growth,pre-log,0.405425728,0.914127988
ms,9_1970_ 28A,F,27,9,1970,25560,84,0.241470588,4.105,1.983,0.008,116.1484615,7.327882353,4.633,NA,NA,NA,NA, 28A,11.33,7,NA,16.46,4.82,NA,0.11,0.08,NA,0.08,0.08,NA,0.003,NA,1.83,0.05,4.1,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/23/1969,Winter,2.427454075,0.68461085,NA,NA,1.572773928,NA,2.800933195,-2.525728644,NA,-5.80914299,0.104360015,0.076961041,NA,NA,NA,Old-growth,pre-log,0.124479264,0.992222209
ms,9_1970_ 29A,F,28,9,1970,25581,105,0.167142857,3.51,0.959,0.032,99.34782218,5.068095238,3.959,NA,NA,NA,NA, 29A,9.99,7.1,NA,14.96,2.04,NA,0.11,0.09,NA,0.09,0.07,NA,0.022,NA,1.8,0.02,3.8,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/13/1970,Winter,2.301584593,-0.041864204,NA,NA,0.712949808,NA,2.705379973,-2.659260037,NA,-3.816712826,0.104360015,0.086177696,NA,NA,NA,Old-growth,pre-log,-0.23449139,0.972118197
ms,9_1970_ 30A,F,29,9,1970,25588,112,0.832571429,5.828,2.624,0.229,62.24998876,25.24757143,6.574,NA,NA,NA,NA, 30A,16.57,7.1,NA,17.17,4.55,NA,0.11,0.04,NA,0.04,0.04,NA,0.002,NA,1.72,NA,3.5,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/20/1970,Winter,2.807593831,0.964699871,NA,NA,1.515127233,NA,2.843163675,-3.218875825,NA,-6.214608098,0.104360015,0.039220713,NA,NA,NA,Old-growth,pre-log,-0.349647455,0.936881346
ms,9_1970_ 31A,F,30,9,1970,25595,119,1.100857143,7.706,1.753,0.52,21.07803898,33.38914286,8.692,NA,NA,NA,NA, 31A,22.12,7.2,NA,16.5,1.41,NA,0.11,0.03,NA,0.03,0.03,NA,NA,NA,1.83,NA,3.6,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/27/1970,Winter,3.096482177,0.561328606,NA,NA,0.343589704,NA,2.803360381,-3.506557897,NA,NA,0.104360015,0.029558802,NA,NA,NA,Old-growth,pre-log,-0.45973274,0.888057323
ms,9_1970_ 32A,F,31,9,1970,25610,134,0.342066667,5.131,0.777,0.134,44.90403692,10.3718,5.784,NA,NA,NA,NA, 32A,15.07,7.2,NA,17.04,0.6,NA,0.11,0.05,NA,0.05,0.05,NA,0.003,NA,2,NA,3.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/11/1970,Winter,2.712706013,-0.252314929,NA,NA,-0.510825624,NA,2.835563521,-2.995732274,NA,-5.80914299,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,-0.671259958,0.741222011
ms,9_1970_ 33A,F,32,9,1970,25629,153,0.109684211,2.084,0.321,0.056,54.6983186,3.325894737,2.35,NA,NA,NA,NA, 33A,6.09,NA,NA,18.17,0.52,NA,0.11,0.03,NA,0.03,0.03,NA,0.001,NA,2.28,NA,3.11,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/2/1970,Winter,1.806648082,-1.136314156,NA,NA,-0.653926467,NA,2.899771882,-3.506557897,NA,-6.907755279,0.104360015,0.029558802,NA,NA,NA,Old-growth,pre-log,-0.873807104,0.486272707
ms,9_1970_ 34A,F,33,9,1970,25654,178,0.08852,2.213,0.36,0.034,65.48629512,2.68536,2.497,NA,NA,NA,NA, 34A,6.39,7.2,34.9,17.21,0.84,NA,0.11,0.03,NA,0.03,0.03,NA,0.003,NA,2.35,0.2,4.7,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/27/1970,Spring,1.854734268,-1.021651248,NA,NA,-0.174353387,NA,2.84549061,-3.506557897,NA,-5.80914299,0.104360015,0.029558802,NA,NA,NA,Old-growth,pre-log,-0.99700117,0.077386479
ms,9_1970_ 35A,F,34,9,1970,25681,205,0.060592593,1.636,0.312,0.026,90.7162115,1.837,1.846,NA,NA,NA,NA, 35A,4.57,7.2,NA,19.46,1.25,NA,0.11,0.03,NA,0.03,0.03,NA,0.001,NA,2.5,0.03,3.45,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/23/1970,Spring,1.519513205,-1.164752091,NA,NA,0.223143551,NA,2.968361077,-3.506557897,NA,-6.907755279,0.104360015,0.029558802,NA,NA,NA,Old-growth,pre-log,-0.925924777,-0.377707965
ms,9_1970_ 36A,F,35,9,1970,25699,223,0.110888889,1.996,0.287,0.036,57.74682704,3.364166667,2.251,NA,NA,NA,NA, 36A,5.61,7.2,NA,18.5,1.22,NA,0.11,0.06,NA,0.06,0.04,NA,0.024,0.002,2.3,NA,3.4,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/11/1970,Spring,1.72455072,-1.248273063,NA,NA,0.198850859,NA,2.917770732,-3.218875825,NA,-3.729701449,0.104360015,0.058268908,NA,NA,NA,Old-growth,pre-log,-0.766658819,-0.642054713
ms,9_1970_ 37A,F,36,9,1970,25720,244,0.037952381,0.797,0.13,0.017,59.32565163,1.152714286,0.898,NA,NA,NA,NA, 37A,2.52,7.3,NA,22.42,0.82,NA,0.11,0.05,NA,0.05,0.05,NA,NA,NA,2.62,0.07,4.91,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/1/1970,Spring,0.924258902,-2.040220829,NA,NA,-0.198450939,NA,3.109953418,-2.995732274,NA,NA,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,-0.490028666,-0.871706319
ms,9_1970_ 38A,G,37,9,1970,25741,265,0.013333333,0.28,0.025,0.007,26.65755053,0.407238095,0.318,NA,NA,NA,NA, 38A,0.82,7.4,NA,29.29,0.62,NA,0.11,0.07,NA,0.07,0.07,NA,NA,NA,3.29,0.1,6.22,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/22/1970,Summer,-0.198450939,-3.688879454,NA,NA,-0.478035801,NA,3.377246161,-2.659260037,NA,NA,0.104360015,0.067658648,NA,NA,NA,Old-growth,pre-log,-0.150055398,-0.98867759
ms,9_1970_ 39A,G,38,9,1970,25764,288,0.007086957,0.163,0.011,0.006,16.97151115,0.213,0.183,NA,NA,NA,NA, 39A,0.47,7.6,NA,26.96,0.6,NA,0.11,0.04,NA,0.04,0.04,NA,NA,NA,3.43,0.06,6.2,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/15/1970,Summer,-0.755022584,-4.509860006,NA,NA,-0.510825624,NA,3.294354286,-3.218875825,NA,NA,0.104360015,0.039220713,NA,NA,NA,Old-growth,pre-log,0.242849722,-0.970063922
ms,9_1970_ 40A,G,39,9,1970,25783,307,0.004526316,0.086,0.006,0.003,18.58445286,0.138947368,0.096,NA,NA,NA,NA, 40A,0.25,7,NA,29.96,0.6,NA,0.11,0.09,NA,0.09,0.09,NA,NA,0.001,3.55,0.06,7,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/3/1970,Summer,-1.386294361,-5.11599581,NA,NA,-0.510825624,NA,3.399863159,-2.407945609,NA,NA,0.104360015,0.086177696,NA,NA,NA,Old-growth,pre-log,0.541627821,-0.840618406
ms,9_1970_ 41A,G,40,9,1970,25804,328,0.002380952,0.05,0.003,0.002,20.89976076,0.071761905,0.055,NA,NA,NA,NA, 41A,0.14,7.4,NA,29.66,0.21,NA,0.11,0.06,NA,0.06,0.06,NA,NA,0.002,3.38,0.13,8.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/24/1970,Summer,-1.966112856,-5.80914299,NA,NA,-1.560647748,NA,3.389799337,-2.813410717,NA,NA,0.104360015,0.058268908,NA,NA,NA,Old-growth,pre-log,0.803927962,-0.594726687
ms,9_1970_ 42A,P,41,9,1970,25834,358,0.003666667,0.11,0.027,0.001,81.45163452,0.113,0.125,NA,NA,NA,NA, 42A,0.32,6.6,NA,23.5,2.14,NA,0.11,0.08,NA,0.08,0.08,NA,NA,0.003,3.13,0.14,6.7,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/23/1970,Fall,-1.139434283,-3.611918413,NA,NA,0.760805829,NA,3.157000421,-2.525728644,NA,NA,0.104360015,0.076961041,NA,NA,NA,Old-growth,pre-log,0.992748723,-0.120208045
ms,9_1971_ 44A,F,42,9,1971,25853,12,0.002421053,0.046,0.004,0.002,25.07078825,0.069105263,0.049,NA,NA,NA,NA, 44A,0.13,7.6,NA,23,0.61,NA,0.11,0.05,NA,0.05,0.05,NA,NA,0.001,4,0.05,6.3,1.78,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/12/1970,Fall,-2.040220829,-5.521460918,NA,NA,-0.494296322,NA,3.135494216,-2.995732274,NA,NA,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,0.97874008,0.2051045
ms,9_1971_ 45A,F,43,9,1971,25875,34,0.030863636,0.679,0.304,0.002,166.2918492,0.933,0.761,NA,NA,NA,NA, 45A,1.94,NA,NA,19.04,3.43,NA,0.11,0.05,NA,0.05,0.05,NA,NA,0.001,2.65,0.05,5.65,1.78,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/3/1970,Fall,0.662687973,-1.190727578,NA,NA,1.232560261,NA,2.946542029,-2.995732274,NA,NA,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,0.833555772,0.552435313
ms,9_1971_ 46A,F,44,9,1971,25895,54,0.11175,2.235,1.101,0.004,158.5797661,3.392,2.521,NA,NA,NA,NA, 46A,5.03,NA,NA,15.25,3.69,NA,0.11,0.09,NA,0.09,0.09,NA,NA,NA,2.61,0.05,4.55,1.37,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/23/1970,Fall,1.615419984,0.096218858,NA,NA,1.305626458,NA,2.724579503,-2.407945609,NA,NA,0.104360015,0.086177696,NA,NA,NA,Old-growth,pre-log,0.598180914,0.801361088
ms,9_1971_ 47A,F,45,9,1971,25916,75,0.243142857,5.106,1.61,0.073,81.48544624,7.377333333,5.762,NA,NA,NA,NA, 47A,15.55,7.6,NA,14.12,3.56,NA,0.11,0.08,NA,0.08,0.08,NA,NA,NA,1.28,0.05,3.3,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/1970,Fall,2.744060639,0.476234179,NA,NA,1.269760545,NA,2.647592232,-2.525728644,NA,NA,0.104360015,0.076961041,NA,NA,NA,Old-growth,pre-log,0.276096973,0.961129784
