"","site","elev","date","p_mm_day","elev_c"
"40","CS2MET",260,1957-11-09,0,"Low"
"41","CS2MET",260,1957-11-10,16.5,"Low"
"42","CS2MET",260,1957-11-11,24.1,"Low"
"43","CS2MET",260,1957-11-12,71.4,"Low"
"44","CS2MET",260,1957-11-13,62.5,"Low"
"45","CS2MET",260,1957-11-14,25.9,"Low"
"46","CS2MET",260,1957-11-15,1.5,"Low"
"47","CS2MET",260,1957-11-16,0,"Low"
"48","CS2MET",260,1957-11-17,13.2,"Low"
"49","CS2MET",260,1957-11-18,15.5,"Low"
"50","CS2MET",260,1957-11-19,0,"Low"
"51","CS2MET",260,1957-11-20,0,"Low"
"52","CS2MET",260,1957-11-21,0,"Low"
"53","CS2MET",260,1957-11-22,0,"Low"
"54","CS2MET",260,1957-11-23,0,"Low"
"55","CS2MET",260,1957-11-24,0,"Low"
"56","CS2MET",260,1957-11-25,0.5,"Low"
"57","CS2MET",260,1957-11-26,1,"Low"
"58","CS2MET",260,1957-11-27,1,"Low"
"59","CS2MET",260,1957-11-28,5.6,"Low"
"60","CS2MET",260,1957-11-29,0,"Low"
"61","CS2MET",260,1957-11-30,0,"Low"
"62","CS2MET",260,1957-12-01,24.6,"Low"
"63","CS2MET",260,1957-12-02,1.8,"Low"
"64","CS2MET",260,1957-12-03,0,"Low"
"65","CS2MET",260,1957-12-04,0,"Low"
"66","CS2MET",260,1957-12-05,8.6,"Low"
"67","CS2MET",260,1957-12-06,138.4,"Low"
"68","CS2MET",260,1957-12-07,13.2,"Low"
"69","CS2MET",260,1957-12-08,0,"Low"
"70","CS2MET",260,1957-12-09,0,"Low"
"71","CS2MET",260,1957-12-10,0,"Low"
"72","CS2MET",260,1957-12-11,0.8,"Low"
"73","CS2MET",260,1957-12-12,0,"Low"
"74","CS2MET",260,1957-12-13,1.3,"Low"
"75","CS2MET",260,1957-12-14,8.4,"Low"
"76","CS2MET",260,1957-12-15,2.8,"Low"
"77","CS2MET",260,1957-12-16,7.6,"Low"
"78","CS2MET",260,1957-12-17,20.8,"Low"
"79","CS2MET",260,1957-12-18,55.4,"Low"
"80","CS2MET",260,1957-12-19,148.6,"Low"
"81","CS2MET",260,1957-12-20,104.4,"Low"
"82","CS2MET",260,1957-12-21,40.6,"Low"
"83","CS2MET",260,1957-12-22,10.9,"Low"
"84","CS2MET",260,1957-12-23,13,"Low"
"85","CS2MET",260,1957-12-24,47.2,"Low"
"86","CS2MET",260,1957-12-25,26.7,"Low"
"87","CS2MET",260,1957-12-26,13.2,"Low"
"88","CS2MET",260,1957-12-27,66,"Low"
"89","CS2MET",260,1957-12-28,29.2,"Low"
"90","CS2MET",260,1957-12-29,6.9,"Low"
"91","CS2MET",260,1957-12-30,0,"Low"
"92","CS2MET",260,1957-12-31,0,"Low"
"93","CS2MET",260,1958-01-01,2.8,"Low"
"94","CS2MET",260,1958-01-02,3.8,"Low"
"95","CS2MET",260,1958-01-03,0,"Low"
"96","CS2MET",260,1958-01-04,0,"Low"
"97","CS2MET",260,1958-01-05,0,"Low"
"98","CS2MET",260,1958-01-06,0,"Low"
"99","CS2MET",260,1958-01-07,0,"Low"
"100","CS2MET",260,1958-01-08,8.1,"Low"
"101","CS2MET",260,1958-01-09,0,"Low"
"102","CS2MET",260,1958-01-10,19.8,"Low"
"103","CS2MET",260,1958-01-11,41.1,"Low"
"104","CS2MET",260,1958-01-12,35.6,"Low"
"105","CS2MET",260,1958-01-13,0.8,"Low"
"106","CS2MET",260,1958-01-14,30.2,"Low"
"107","CS2MET",260,1958-01-15,10.7,"Low"
"108","CS2MET",260,1958-01-16,15.5,"Low"
"109","CS2MET",260,1958-01-17,16.3,"Low"
"110","CS2MET",260,1958-01-18,0,"Low"
"111","CS2MET",260,1958-01-19,0,"Low"
"112","CS2MET",260,1958-01-20,13.2,"Low"
"113","CS2MET",260,1958-01-21,0,"Low"
"114","CS2MET",260,1958-01-22,22.6,"Low"
"115","CS2MET",260,1958-01-23,20.3,"Low"
"116","CS2MET",260,1958-01-24,5.6,"Low"
"117","CS2MET",260,1958-01-25,0,"Low"
"118","CS2MET",260,1958-01-26,0.8,"Low"
"119","CS2MET",260,1958-01-27,32.3,"Low"
"120","CS2MET",260,1958-01-28,21.6,"Low"
"121","CS2MET",260,1958-01-29,44.5,"Low"
"122","CS2MET",260,1958-01-30,39.9,"Low"
"123","CS2MET",260,1958-01-31,2,"Low"
"124","CS2MET",260,1958-02-01,0,"Low"
"125","CS2MET",260,1958-02-02,0,"Low"
"126","CS2MET",260,1958-02-03,0.8,"Low"
"127","CS2MET",260,1958-02-04,0,"Low"
"128","CS2MET",260,1958-02-05,7.9,"Low"
"129","CS2MET",260,1958-02-06,4.8,"Low"
"130","CS2MET",260,1958-02-07,9.7,"Low"
"131","CS2MET",260,1958-02-08,5.6,"Low"
"132","CS2MET",260,1958-02-09,39.1,"Low"
"133","CS2MET",260,1958-02-10,17,"Low"
"134","CS2MET",260,1958-02-11,28.7,"Low"
"135","CS2MET",260,1958-02-12,36.1,"Low"
"136","CS2MET",260,1958-02-13,7.9,"Low"
"137","CS2MET",260,1958-02-14,43.9,"Low"
"138","CS2MET",260,1958-02-15,87.4,"Low"
"139","CS2MET",260,1958-02-16,12.2,"Low"
"140","CS2MET",260,1958-02-17,18.3,"Low"
"141","CS2MET",260,1958-02-18,0.3,"Low"
"142","CS2MET",260,1958-02-19,0.5,"Low"
"143","CS2MET",260,1958-02-20,0,"Low"
"144","CS2MET",260,1958-02-21,0,"Low"
"145","CS2MET",260,1958-02-22,12.2,"Low"
"146","CS2MET",260,1958-02-23,1,"Low"
"147","CS2MET",260,1958-02-24,24.9,"Low"
"148","CS2MET",260,1958-02-25,51.1,"Low"
"149","CS2MET",260,1958-02-26,36.8,"Low"
"150","CS2MET",260,1958-02-27,0.8,"Low"
"151","CS2MET",260,1958-02-28,0,"Low"
"152","CS2MET",260,1958-03-01,0,"Low"
"153","CS2MET",260,1958-03-02,0,"Low"
"154","CS2MET",260,1958-03-03,0,"Low"
"155","CS2MET",260,1958-03-04,0,"Low"
"156","CS2MET",260,1958-03-05,14.7,"Low"
"157","CS2MET",260,1958-03-06,0,"Low"
"158","CS2MET",260,1958-03-07,10.4,"Low"
"159","CS2MET",260,1958-03-08,16.8,"Low"
"160","CS2MET",260,1958-03-09,5.8,"Low"
"161","CS2MET",260,1958-03-10,0,"Low"
"162","CS2MET",260,1958-03-11,0,"Low"
"163","CS2MET",260,1958-03-12,1.5,"Low"
"164","CS2MET",260,1958-03-13,0,"Low"
"165","CS2MET",260,1958-03-14,3.6,"Low"
"166","CS2MET",260,1958-03-15,5.8,"Low"
"167","CS2MET",260,1958-03-16,0.8,"Low"
"168","CS2MET",260,1958-03-17,9.1,"Low"
"169","CS2MET",260,1958-03-18,0,"Low"
"170","CS2MET",260,1958-03-19,0,"Low"
"171","CS2MET",260,1958-03-20,0,"Low"
"172","CS2MET",260,1958-03-21,4.6,"Low"
"173","CS2MET",260,1958-03-22,1,"Low"
"174","CS2MET",260,1958-03-23,5.8,"Low"
"175","CS2MET",260,1958-03-24,6.4,"Low"
"176","CS2MET",260,1958-03-25,13.7,"Low"
"177","CS2MET",260,1958-03-26,0,"Low"
"178","CS2MET",260,1958-03-27,2,"Low"
"179","CS2MET",260,1958-03-28,2,"Low"
"180","CS2MET",260,1958-03-29,6.1,"Low"
"181","CS2MET",260,1958-03-30,0.8,"Low"
"182","CS2MET",260,1958-03-31,3.3,"Low"
"183","CS2MET",260,1958-04-01,3,"Low"
"184","CS2MET",260,1958-04-02,4.1,"Low"
"185","CS2MET",260,1958-04-03,1.3,"Low"
"186","CS2MET",260,1958-04-04,6.6,"Low"
"187","CS2MET",260,1958-04-05,0,"Low"
"188","CS2MET",260,1958-04-06,3.3,"Low"
"189","CS2MET",260,1958-04-07,1,"Low"
"190","CS2MET",260,1958-04-08,1.8,"Low"
"191","CS2MET",260,1958-04-09,9.1,"Low"
"192","CS2MET",260,1958-04-10,5.8,"Low"
"193","CS2MET",260,1958-04-11,0,"Low"
"194","CS2MET",260,1958-04-12,0,"Low"
"195","CS2MET",260,1958-04-13,4.3,"Low"
"196","CS2MET",260,1958-04-14,0.5,"Low"
"197","CS2MET",260,1958-04-15,12.4,"Low"
"198","CS2MET",260,1958-04-16,7.9,"Low"
"199","CS2MET",260,1958-04-17,39.6,"Low"
"200","CS2MET",260,1958-04-18,11.4,"Low"
"201","CS2MET",260,1958-04-19,31.2,"Low"
"202","CS2MET",260,1958-04-20,39.1,"Low"
"203","CS2MET",260,1958-04-21,20.1,"Low"
"204","CS2MET",260,1958-04-22,16.5,"Low"
"205","CS2MET",260,1958-04-23,6.4,"Low"
"206","CS2MET",260,1958-04-24,0,"Low"
"207","CS2MET",260,1958-04-25,1.3,"Low"
"208","CS2MET",260,1958-04-26,0,"Low"
"209","CS2MET",260,1958-04-27,0,"Low"
"210","CS2MET",260,1958-04-28,0,"Low"
"211","CS2MET",260,1958-04-29,0,"Low"
"212","CS2MET",260,1958-04-30,0,"Low"
"213","CS2MET",260,1958-05-01,0,"Low"
"214","CS2MET",260,1958-05-02,0,"Low"
"215","CS2MET",260,1958-05-03,0,"Low"
"216","CS2MET",260,1958-05-04,0,"Low"
"217","CS2MET",260,1958-05-05,0,"Low"
"218","CS2MET",260,1958-05-06,0,"Low"
"219","CS2MET",260,1958-05-07,0,"Low"
"220","CS2MET",260,1958-05-08,0,"Low"
"221","CS2MET",260,1958-05-09,0,"Low"
"222","CS2MET",260,1958-05-10,0,"Low"
"223","CS2MET",260,1958-05-11,2.8,"Low"
"224","CS2MET",260,1958-05-12,0.8,"Low"
"225","CS2MET",260,1958-05-13,0,"Low"
"226","CS2MET",260,1958-05-14,0,"Low"
"227","CS2MET",260,1958-05-15,0,"Low"
"228","CS2MET",260,1958-05-16,0,"Low"
"229","CS2MET",260,1958-05-17,0,"Low"
"230","CS2MET",260,1958-05-18,0,"Low"
"231","CS2MET",260,1958-05-19,0,"Low"
"232","CS2MET",260,1958-05-20,0,"Low"
"233","CS2MET",260,1958-05-21,0,"Low"
"234","CS2MET",260,1958-05-22,17.8,"Low"
"235","CS2MET",260,1958-05-23,0,"Low"
"236","CS2MET",260,1958-05-24,13.2,"Low"
"237","CS2MET",260,1958-05-25,0,"Low"
"238","CS2MET",260,1958-05-26,0,"Low"
"239","CS2MET",260,1958-05-27,7.9,"Low"
"240","CS2MET",260,1958-05-28,0,"Low"
"241","CS2MET",260,1958-05-29,0,"Low"
"242","CS2MET",260,1958-05-30,2.8,"Low"
"243","CS2MET",260,1958-05-31,12.4,"Low"
"244","CS2MET",260,1958-06-01,0.5,"Low"
"245","CS2MET",260,1958-06-02,7.4,"Low"
"246","CS2MET",260,1958-06-03,4.8,"Low"
"247","CS2MET",260,1958-06-04,0.5,"Low"
"248","CS2MET",260,1958-06-05,4.6,"Low"
"249","CS2MET",260,1958-06-06,25.9,"Low"
"250","CS2MET",260,1958-06-07,6.6,"Low"
"251","CS2MET",260,1958-06-08,10.9,"Low"
"252","CS2MET",260,1958-06-09,1,"Low"
"253","CS2MET",260,1958-06-10,0,"Low"
"254","CS2MET",260,1958-06-11,1.8,"Low"
"255","CS2MET",260,1958-06-12,0,"Low"
"256","CS2MET",260,1958-06-13,0,"Low"
"257","CS2MET",260,1958-06-14,0,"Low"
"258","CS2MET",260,1958-06-15,0,"Low"
"259","CS2MET",260,1958-06-16,0,"Low"
"260","CS2MET",260,1958-06-17,0,"Low"
"261","CS2MET",260,1958-06-18,0,"Low"
"262","CS2MET",260,1958-06-19,0,"Low"
"263","CS2MET",260,1958-06-20,2,"Low"
"264","CS2MET",260,1958-06-21,0,"Low"
"265","CS2MET",260,1958-06-22,0,"Low"
"266","CS2MET",260,1958-06-23,11.9,"Low"
"267","CS2MET",260,1958-06-24,13.5,"Low"
"268","CS2MET",260,1958-06-25,0.8,"Low"
"269","CS2MET",260,1958-06-26,0,"Low"
"270","CS2MET",260,1958-06-27,0,"Low"
"271","CS2MET",260,1958-06-28,5.1,"Low"
"272","CS2MET",260,1958-06-29,1.3,"Low"
"273","CS2MET",260,1958-06-30,0,"Low"
"274","CS2MET",260,1958-07-01,0.3,"Low"
"275","CS2MET",260,1958-07-02,2.5,"Low"
"276","CS2MET",260,1958-07-03,0,"Low"
"277","CS2MET",260,1958-07-04,0,"Low"
"278","CS2MET",260,1958-07-05,0,"Low"
"279","CS2MET",260,1958-07-06,0,"Low"
"280","CS2MET",260,1958-07-07,0,"Low"
"281","CS2MET",260,1958-07-08,0,"Low"
"282","CS2MET",260,1958-07-09,0,"Low"
"283","CS2MET",260,1958-07-10,0,"Low"
"284","CS2MET",260,1958-07-11,0,"Low"
"285","CS2MET",260,1958-07-12,0,"Low"
"286","CS2MET",260,1958-07-13,0,"Low"
"287","CS2MET",260,1958-07-14,0,"Low"
"288","CS2MET",260,1958-07-15,0,"Low"
"289","CS2MET",260,1958-07-16,0,"Low"
"290","CS2MET",260,1958-07-17,0,"Low"
"291","CS2MET",260,1958-07-18,0,"Low"
"292","CS2MET",260,1958-07-19,0,"Low"
"293","CS2MET",260,1958-07-20,0,"Low"
"294","CS2MET",260,1958-07-21,0,"Low"
"295","CS2MET",260,1958-07-22,0,"Low"
"296","CS2MET",260,1958-07-23,0,"Low"
"297","CS2MET",260,1958-07-24,0,"Low"
"298","CS2MET",260,1958-07-25,0,"Low"
"299","CS2MET",260,1958-07-26,0,"Low"
"300","CS2MET",260,1958-07-27,0,"Low"
"301","CS2MET",260,1958-07-28,0,"Low"
"302","CS2MET",260,1958-07-29,0,"Low"
"303","CS2MET",260,1958-07-30,0,"Low"
"304","CS2MET",260,1958-07-31,0,"Low"
"305","CS2MET",260,1958-08-01,0,"Low"
"306","CS2MET",260,1958-08-02,0,"Low"
"307","CS2MET",260,1958-08-03,0,"Low"
"308","CS2MET",260,1958-08-04,0,"Low"
"309","CS2MET",260,1958-08-05,0,"Low"
"310","CS2MET",260,1958-08-06,0,"Low"
"311","CS2MET",260,1958-08-07,0,"Low"
"312","CS2MET",260,1958-08-08,0,"Low"
"313","CS2MET",260,1958-08-09,0,"Low"
"314","CS2MET",260,1958-08-10,0,"Low"
"315","CS2MET",260,1958-08-11,0,"Low"
"316","CS2MET",260,1958-08-12,0,"Low"
"317","CS2MET",260,1958-08-13,0,"Low"
"318","CS2MET",260,1958-08-14,0,"Low"
"319","CS2MET",260,1958-08-15,0,"Low"
"320","CS2MET",260,1958-08-16,0,"Low"
"321","CS2MET",260,1958-08-17,0,"Low"
"322","CS2MET",260,1958-08-18,0,"Low"
"323","CS2MET",260,1958-08-19,0,"Low"
"324","CS2MET",260,1958-08-20,0,"Low"
"325","CS2MET",260,1958-08-21,0,"Low"
"326","CS2MET",260,1958-08-22,0,"Low"
"327","CS2MET",260,1958-08-23,0,"Low"
"328","CS2MET",260,1958-08-24,0,"Low"
"329","CS2MET",260,1958-08-25,0,"Low"
"330","CS2MET",260,1958-08-26,0,"Low"
"331","CS2MET",260,1958-08-27,0,"Low"
"332","CS2MET",260,1958-08-28,0,"Low"
"333","CS2MET",260,1958-08-29,9.9,"Low"
"334","CS2MET",260,1958-08-30,0,"Low"
"335","CS2MET",260,1958-08-31,0,"Low"
"336","CS2MET",260,1958-09-01,0,"Low"
"337","CS2MET",260,1958-09-02,0,"Low"
"338","CS2MET",260,1958-09-03,0,"Low"
"339","CS2MET",260,1958-09-04,0,"Low"
"340","CS2MET",260,1958-09-05,0,"Low"
"341","CS2MET",260,1958-09-06,0,"Low"
"342","CS2MET",260,1958-09-07,0,"Low"
"343","CS2MET",260,1958-09-08,2.3,"Low"
"344","CS2MET",260,1958-09-09,1.3,"Low"
"345","CS2MET",260,1958-09-10,0,"Low"
"346","CS2MET",260,1958-09-11,0,"Low"
"347","CS2MET",260,1958-09-12,20.6,"Low"
"348","CS2MET",260,1958-09-13,19.8,"Low"
"349","CS2MET",260,1958-09-14,6.4,"Low"
"350","CS2MET",260,1958-09-15,0.8,"Low"
"351","CS2MET",260,1958-09-16,5.3,"Low"
"352","CS2MET",260,1958-09-17,0.8,"Low"
"353","CS2MET",260,1958-09-18,0,"Low"
"354","CS2MET",260,1958-09-19,3,"Low"
"355","CS2MET",260,1958-09-20,0,"Low"
"356","CS2MET",260,1958-09-21,3.6,"Low"
"357","CS2MET",260,1958-09-22,1.5,"Low"
"358","CS2MET",260,1958-09-23,0.5,"Low"
"359","CS2MET",260,1958-09-24,0,"Low"
"360","CS2MET",260,1958-09-25,2.5,"Low"
"361","CS2MET",260,1958-09-26,0,"Low"
"362","CS2MET",260,1958-09-27,0,"Low"
"363","CS2MET",260,1958-09-28,0,"Low"
"364","CS2MET",260,1958-09-29,0,"Low"
"365","CS2MET",260,1958-09-30,0,"Low"
"366","CS2MET",260,1958-10-01,0,"Low"
"367","CS2MET",260,1958-10-02,0,"Low"
"368","CS2MET",260,1958-10-03,0,"Low"
"369","CS2MET",260,1958-10-04,0,"Low"
"370","CS2MET",260,1958-10-05,0,"Low"
"371","CS2MET",260,1958-10-06,0,"Low"
"372","CS2MET",260,1958-10-07,0,"Low"
"373","CS2MET",260,1958-10-08,16.5,"Low"
"374","CS2MET",260,1958-10-09,0,"Low"
"375","CS2MET",260,1958-10-10,0,"Low"
"376","CS2MET",260,1958-10-11,0,"Low"
"377","CS2MET",260,1958-10-12,0,"Low"
"378","CS2MET",260,1958-10-13,0,"Low"
"379","CS2MET",260,1958-10-14,0,"Low"
"380","CS2MET",260,1958-10-15,0,"Low"
"381","CS2MET",260,1958-10-16,0,"Low"
"382","CS2MET",260,1958-10-17,1.3,"Low"
"383","CS2MET",260,1958-10-18,17.3,"Low"
"384","CS2MET",260,1958-10-19,46.7,"Low"
"385","CS2MET",260,1958-10-20,2.5,"Low"
"386","CS2MET",260,1958-10-21,0,"Low"
"387","CS2MET",260,1958-10-22,4.8,"Low"
"388","CS2MET",260,1958-10-23,0.5,"Low"
"389","CS2MET",260,1958-10-24,0,"Low"
"390","CS2MET",260,1958-10-25,0,"Low"
"391","CS2MET",260,1958-10-26,0,"Low"
"392","CS2MET",260,1958-10-27,0,"Low"
"393","CS2MET",260,1958-10-28,0,"Low"
"394","CS2MET",260,1958-10-29,0,"Low"
"395","CS2MET",260,1958-10-30,0,"Low"
"396","CS2MET",260,1958-10-31,3.8,"Low"
"397","CS2MET",260,1958-11-01,0,"Low"
"398","CS2MET",260,1958-11-02,8.4,"Low"
"399","CS2MET",260,1958-11-03,32,"Low"
"400","CS2MET",260,1958-11-04,21.6,"Low"
"401","CS2MET",260,1958-11-05,9.1,"Low"
"402","CS2MET",260,1958-11-06,57.2,"Low"
"403","CS2MET",260,1958-11-07,22.1,"Low"
"404","CS2MET",260,1958-11-08,40.9,"Low"
"405","CS2MET",260,1958-11-09,22.6,"Low"
"406","CS2MET",260,1958-11-10,2.5,"Low"
"407","CS2MET",260,1958-11-11,0,"Low"
"408","CS2MET",260,1958-11-12,51.6,"Low"
"409","CS2MET",260,1958-11-13,54.4,"Low"
"410","CS2MET",260,1958-11-14,23.4,"Low"
"411","CS2MET",260,1958-11-15,3.8,"Low"
"412","CS2MET",260,1958-11-16,0,"Low"
"413","CS2MET",260,1958-11-17,8.1,"Low"
"414","CS2MET",260,1958-11-18,57.2,"Low"
"415","CS2MET",260,1958-11-19,71.9,"Low"
"416","CS2MET",260,1958-11-20,1,"Low"
"417","CS2MET",260,1958-11-21,0.3,"Low"
"418","CS2MET",260,1958-11-22,0.5,"Low"
"419","CS2MET",260,1958-11-23,2.8,"Low"
"420","CS2MET",260,1958-11-24,6.1,"Low"
"421","CS2MET",260,1958-11-25,0,"Low"
"422","CS2MET",260,1958-11-26,0,"Low"
"423","CS2MET",260,1958-11-27,0,"Low"
"424","CS2MET",260,1958-11-28,0,"Low"
"425","CS2MET",260,1958-11-29,2,"Low"
"426","CS2MET",260,1958-11-30,3.6,"Low"
"427","CS2MET",260,1958-12-01,9.1,"Low"
"428","CS2MET",260,1958-12-02,20.8,"Low"
"429","CS2MET",260,1958-12-03,4.6,"Low"
"430","CS2MET",260,1958-12-04,0,"Low"
"431","CS2MET",260,1958-12-05,0,"Low"
"432","CS2MET",260,1958-12-06,11.4,"Low"
"433","CS2MET",260,1958-12-07,29,"Low"
"434","CS2MET",260,1958-12-08,8.4,"Low"
"435","CS2MET",260,1958-12-09,14,"Low"
"436","CS2MET",260,1958-12-10,35.3,"Low"
"437","CS2MET",260,1958-12-11,24.1,"Low"
"438","CS2MET",260,1958-12-12,0,"Low"
"439","CS2MET",260,1958-12-13,0,"Low"
"440","CS2MET",260,1958-12-14,0,"Low"
"441","CS2MET",260,1958-12-15,0,"Low"
"442","CS2MET",260,1958-12-16,0.3,"Low"
"443","CS2MET",260,1958-12-17,0,"Low"
"444","CS2MET",260,1958-12-18,0,"Low"
"445","CS2MET",260,1958-12-19,0,"Low"
"446","CS2MET",260,1958-12-20,6.9,"Low"
"447","CS2MET",260,1958-12-21,4.1,"Low"
"448","CS2MET",260,1958-12-22,0,"Low"
"449","CS2MET",260,1958-12-23,2,"Low"
"450","CS2MET",260,1958-12-24,9.9,"Low"
"451","CS2MET",260,1958-12-25,8.9,"Low"
"452","CS2MET",260,1958-12-26,33.5,"Low"
"453","CS2MET",260,1958-12-27,17.3,"Low"
"454","CS2MET",260,1958-12-28,2.3,"Low"
"455","CS2MET",260,1958-12-29,29.2,"Low"
"456","CS2MET",260,1958-12-30,5.3,"Low"
"457","CS2MET",260,1958-12-31,1.5,"Low"
"458","CS2MET",260,1959-01-01,6.1,"Low"
"459","CS2MET",260,1959-01-02,4.1,"Low"
"460","CS2MET",260,1959-01-03,0,"Low"
"461","CS2MET",260,1959-01-04,22.1,"Low"
"462","CS2MET",260,1959-01-05,3.6,"Low"
"463","CS2MET",260,1959-01-06,4.6,"Low"
"464","CS2MET",260,1959-01-07,4.6,"Low"
"465","CS2MET",260,1959-01-08,7.1,"Low"
"466","CS2MET",260,1959-01-09,24.4,"Low"
"467","CS2MET",260,1959-01-10,26.7,"Low"
"468","CS2MET",260,1959-01-11,26.4,"Low"
"469","CS2MET",260,1959-01-12,15.7,"Low"
"470","CS2MET",260,1959-01-13,3,"Low"
"471","CS2MET",260,1959-01-14,0,"Low"
"472","CS2MET",260,1959-01-15,2,"Low"
"473","CS2MET",260,1959-01-16,8.9,"Low"
"474","CS2MET",260,1959-01-17,6.4,"Low"
"475","CS2MET",260,1959-01-18,9.7,"Low"
"476","CS2MET",260,1959-01-19,12.2,"Low"
"477","CS2MET",260,1959-01-20,2,"Low"
"478","CS2MET",260,1959-01-21,1,"Low"
"479","CS2MET",260,1959-01-22,1,"Low"
"480","CS2MET",260,1959-01-23,8.6,"Low"
"481","CS2MET",260,1959-01-24,26.2,"Low"
"482","CS2MET",260,1959-01-25,13.7,"Low"
"483","CS2MET",260,1959-01-26,31.2,"Low"
"484","CS2MET",260,1959-01-27,103.6,"Low"
"485","CS2MET",260,1959-01-28,9.1,"Low"
"486","CS2MET",260,1959-01-29,15.5,"Low"
"487","CS2MET",260,1959-01-30,13.5,"Low"
"488","CS2MET",260,1959-01-31,7.6,"Low"
"489","CS2MET",260,1959-02-01,2,"Low"
"490","CS2MET",260,1959-02-02,0.5,"Low"
"491","CS2MET",260,1959-02-03,2,"Low"
"492","CS2MET",260,1959-02-04,1.8,"Low"
"493","CS2MET",260,1959-02-05,0,"Low"
"494","CS2MET",260,1959-02-06,27.2,"Low"
"495","CS2MET",260,1959-02-07,13,"Low"
"496","CS2MET",260,1959-02-08,3.6,"Low"
"497","CS2MET",260,1959-02-09,17.5,"Low"
"498","CS2MET",260,1959-02-10,6.4,"Low"
"499","CS2MET",260,1959-02-11,0,"Low"
"500","CS2MET",260,1959-02-12,0,"Low"
"501","CS2MET",260,1959-02-13,18,"Low"
"502","CS2MET",260,1959-02-14,48.8,"Low"
"503","CS2MET",260,1959-02-15,23.9,"Low"
"504","CS2MET",260,1959-02-16,6.1,"Low"
"505","CS2MET",260,1959-02-17,0,"Low"
"506","CS2MET",260,1959-02-18,13.7,"Low"
"507","CS2MET",260,1959-02-19,9.4,"Low"
"508","CS2MET",260,1959-02-20,6.1,"Low"
"509","CS2MET",260,1959-02-21,0,"Low"
"510","CS2MET",260,1959-02-22,2,"Low"
"511","CS2MET",260,1959-02-23,5.1,"Low"
"512","CS2MET",260,1959-02-24,0.8,"Low"
"513","CS2MET",260,1959-02-25,6.6,"Low"
"514","CS2MET",260,1959-02-26,8.1,"Low"
"515","CS2MET",260,1959-02-27,2,"Low"
"516","CS2MET",260,1959-02-28,0,"Low"
"517","CS2MET",260,1959-03-01,1.3,"Low"
"518","CS2MET",260,1959-03-02,0,"Low"
"519","CS2MET",260,1959-03-03,0.3,"Low"
"520","CS2MET",260,1959-03-04,0,"Low"
"521","CS2MET",260,1959-03-05,0,"Low"
"522","CS2MET",260,1959-03-06,0,"Low"
"523","CS2MET",260,1959-03-07,0.3,"Low"
"524","CS2MET",260,1959-03-08,3,"Low"
"525","CS2MET",260,1959-03-09,18.5,"Low"
"526","CS2MET",260,1959-03-10,1.5,"Low"
"527","CS2MET",260,1959-03-11,1,"Low"
"528","CS2MET",260,1959-03-12,7.4,"Low"
"529","CS2MET",260,1959-03-13,18.8,"Low"
"530","CS2MET",260,1959-03-14,0,"Low"
"531","CS2MET",260,1959-03-15,0,"Low"
"532","CS2MET",260,1959-03-16,0,"Low"
"533","CS2MET",260,1959-03-17,5.1,"Low"
"534","CS2MET",260,1959-03-18,33.8,"Low"
"535","CS2MET",260,1959-03-19,2.8,"Low"
"536","CS2MET",260,1959-03-20,0,"Low"
"537","CS2MET",260,1959-03-21,22.6,"Low"
